ts,frame_idx,mode,fps,latency_ms,width,height,power_state
1771342481.2606423,438,hand,29.296992980127825,16.775500029325485,640,480,unknown
1771342481.2937617,439,hand,30.07920138839087,15.987700084224343,640,480,unknown
1771342481.3235006,440,hand,29.59529219175569,15.23100002668798,640,480,unknown
1771342481.360404,441,hand,29.27450008724481,14.16849996894598,640,480,unknown
1771342481.4113119,442,hand,29.65996054111008,33.19400013424456,640,480,unknown
1771342481.4456177,443,hand,20.11405771942108,25.84660006687045,640,480,unknown
1771342481.4739594,444,hand,30.074887783052013,13.833899982273579,640,480,unknown
1771342481.4973938,445,hand,28.94859477665507,15.05749998614192,640,480,unknown
1771342481.5453322,446,hand,29.75633358163953,15.023699961602688,640,480,unknown
1771342481.580314,447,hand,28.816334943285263,14.897099928930402,640,480,unknown
1771342481.585461,448,hand,50.611835119220004,15.184199903160334,640,480,unknown
1771342481.6340802,449,hand,29.034161469185456,14.769800007343292,640,480,unknown
1771342481.6667295,450,hand,29.24571874825682,14.204300008714199,640,480,unknown
1771342481.6932616,451,hand,29.452934195650496,15.395099995657802,640,480,unknown
1771342481.723706,452,hand,28.9902128836052,14.579300070181489,640,480,unknown
1771342481.7767305,453,hand,29.133989969853992,21.193200023844838,640,480,unknown
1771342481.8066008,454,hand,29.607618079526763,16.388699878007174,640,480,unknown
1771342481.8393526,455,hand,31.505562274185188,18.11689999885857,640,480,unknown
1771342481.8566158,456,hand,29.211499888566973,14.245399972423911,640,480,unknown
1771342481.8910823,457,hand,29.0136756984844,15.065199928358197,640,480,unknown
1771342481.9429424,458,hand,28.58674227450553,16.648999880999327,640,480,unknown
1771342481.973033,459,hand,31.592654524638075,15.556100057438016,640,480,unknown
1771342482.0051749,460,hand,30.963870720075594,15.237299958243966,640,480,unknown
1771342482.0320387,461,hand,30.733581001370233,14.297599904239178,640,480,unknown
1771342482.0708137,462,hand,29.814289065332204,14.85899998806417,640,480,unknown
1771342482.105484,463,hand,29.502862850470578,15.483399853110313,640,480,unknown
1771342482.13826,464,hand,29.26694205649213,15.007100068032742,640,480,unknown
1771342482.1714709,465,hand,29.37557955484585,13.835199875757098,640,480,unknown
1771342482.2059798,466,hand,29.692505911169633,14.142399886623025,640,480,unknown
1771342482.2413568,467,hand,29.748735734905065,15.452499967068434,640,480,unknown
1771342482.2757075,468,hand,29.201737774312132,16.18209993466735,640,480,unknown
1771342482.309234,469,hand,29.6880923562596,16.179600032046437,640,480,unknown
1771342482.3267677,470,hand,43.43728251864126,14.685699949041009,640,480,unknown
1771342482.3596272,471,hand,36.46840329704727,15.928800217807293,640,480,unknown
1771342482.4015481,472,hand,29.312553725303832,24.68319982290268,640,480,unknown
1771342482.4119494,473,hand,29.43412539123356,13.80979991517961,640,480,unknown
1771342482.4306593,474,hand,53.4476457470532,14.308300102129579,640,480,unknown
1771342482.475931,475,hand,28.65020458069496,14.895200030878186,640,480,unknown
1771342482.5135224,476,hand,29.211499888566973,14.018600108101964,640,480,unknown
1771342482.5502896,477,hand,29.027731447198136,16.267400002107024,640,480,unknown
1771342482.5800405,478,hand,28.91227683187427,14.55680001527071,640,480,unknown
1771342482.6033535,479,hand,28.96858855706274,15.125100035220385,640,480,unknown
1771342482.651178,480,hand,29.04662774672955,14.842200092971325,640,480,unknown
1771342482.6874707,481,hand,29.676539261607257,16.517299925908446,640,480,unknown
1771342482.7208638,482,hand,29.97365882243645,16.01759996265173,640,480,unknown
1771342482.7518384,483,hand,30.02064216900239,14.534799847751856,640,480,unknown
1771342482.7765098,484,hand,29.5186431135196,15.010500093922019,640,480,unknown
1771342482.8059561,485,hand,29.47363095279923,13.710000086575747,640,480,unknown
1771342482.8395588,486,hand,54.10190129762918,14.8543999530375,640,480,unknown
1771342482.8644383,487,hand,28.99622537158659,15.394699992612004,640,480,unknown
1771342482.9155877,488,hand,24.6496118290755,16.55389997176826,640,480,unknown
1771342482.946559,489,hand,29.224526198439243,13.998500071465969,640,480,unknown
1771342482.984076,490,hand,29.13783545332657,15.95519995316863,640,480,unknown
1771342483.013637,491,hand,29.12569527870173,15.19679999910295,640,480,unknown
1771342483.0645084,492,hand,29.09559088764949,27.966600144281983,640,480,unknown
1771342483.094171,493,hand,29.814077138510967,24.989400058984756,640,480,unknown
1771342483.127506,494,hand,29.400288794493278,24.900800082832575,640,480,unknown
1771342483.1516187,495,hand,29.913375887030632,13.9121999964118,640,480,unknown
1771342483.185066,496,hand,29.314807307901983,13.729099882766604,640,480,unknown
1771342483.2284846,497,hand,29.911882586184763,24.91179993376136,640,480,unknown
1771342483.2519941,498,hand,29.997024831216386,13.828499941155314,640,480,unknown
1771342483.2875502,499,hand,30.371498913830557,25.43640020303428,640,480,unknown
1771342483.322429,500,hand,29.897597103122838,25.12350003235042,640,480,unknown
1771342483.3647969,501,hand,29.31788093357472,26.901799952611327,640,480,unknown
1771342483.3879056,502,hand,29.506183608863875,15.062300022691488,640,480,unknown
1771342483.4330244,503,hand,28.9517919266663,25.915700010955334,640,480,unknown
1771342483.466169,504,hand,30.001530725377854,25.23190015926957,640,480,unknown
1771342483.498296,505,hand,29.77661349292555,24.488499853760004,640,480,unknown
1771342483.5332153,506,hand,29.90655058575228,25.40990011766553,640,480,unknown
1771342483.567689,507,hand,29.733130117321803,25.77840001322329,640,480,unknown
1771342483.5908928,508,hand,29.834860297046607,25.972799863666296,640,480,unknown
1771342483.6348782,509,hand,29.640467542012352,25.722800055518746,640,480,unknown
1771342483.6684337,510,hand,29.177969933703885,25.28100018389523,640,480,unknown
1771342483.7010467,511,hand,29.699023557818265,25.158300064504147,640,480,unknown
1771342483.7356813,512,hand,29.248981868898188,25.40080016478896,640,480,unknown
1771342483.7704453,513,hand,29.246534460156752,25.194999994710088,640,480,unknown
1771342483.7733283,514,face,35.40064651716309,4.458900075405836,640,480,unknown
1771342483.7931812,515,face,54.067031040528,3.19129996933043,640,480,unknown
1771342483.8116744,516,face,50.376583912850265,2.080800011754036,640,480,unknown
1771342483.845452,517,face,30.73290541926786,2.269999822601676,640,480,unknown
1771342483.8788986,518,face,30.411577894110994,2.8546000830829144,640,480,unknown
1771342483.9107225,519,face,30.964099308267567,2.4690001737326384,640,480,unknown
1771342483.94339,520,face,31.205993735445325,3.087099874392152,640,480,unknown
1771342483.973683,521,face,32.19774770279503,2.1769998129457235,640,480,unknown
1771342484.0031002,522,face,32.67278944949483,2.168700098991394,640,480,unknown
1771342484.0367281,523,face,29.7371354026346,2.266499912366271,640,480,unknown
1771342484.0824163,524,face,22.616533569152292,2.7785999700427055,640,480,unknown
1771342484.1161819,525,face,30.46547641529991,2.268899930641055,640,480,unknown
1771342484.1476371,526,face,31.27580215797833,2.1850999910384417,640,480,unknown
1771342484.1799452,527,face,30.328893516710774,2.4588999804109335,640,480,unknown
1771342484.2096019,528,face,32.37419822935079,2.482400042936206,640,480,unknown
1771342484.2454026,529,face,27.932418303265205,4.21199994161725,640,480,unknown
1771342484.2745037,530,face,34.36292284878624,2.7151000685989857,640,480,unknown
1771342484.3112772,531,face,28.918257032542748,2.4741999804973602,640,480,unknown
1771342484.3420575,532,face,32.208874076576926,2.261699875816703,640,480,unknown
1771342484.3755212,533,face,29.96530734718372,2.329600043594837,640,480,unknown
1771342484.4056702,534,face,33.22299935840059,2.3349998518824577,640,480,unknown
1771342484.4524536,535,face,20.981486205947824,2.2458999883383512,640,480,unknown
1771342484.485574,536,face,30.268703678311887,2.4064001627266407,640,480,unknown
1771342484.5165968,537,face,30.964099308267567,2.1132000256329775,640,480,unknown
1771342484.550747,538,face,30.179191250539645,2.596300095319748,640,480,unknown
1771342484.5825007,539,face,30.517123711265196,2.3250000085681677,640,480,unknown
1771342484.612713,540,face,35.777808107001505,2.9833000153303146,640,480,unknown
1771342484.6452265,541,face,30.502919893822042,2.1964001934975386,640,480,unknown
1771342484.675287,542,face,32.2234736445841,2.3694001138210297,640,480,unknown
1771342484.7129087,543,face,28.37401739930457,4.62420005351305,640,480,unknown
1771342484.7413683,544,face,33.00600423365361,2.7190998662263155,640,480,unknown
1771342484.771715,545,face,33.73253981019784,2.2545999381691217,640,480,unknown
1771342484.8249884,546,face,19.806033933200798,5.455199861899018,640,480,unknown
1771342484.8538842,547,face,29.463278939567427,2.164500067010522,640,480,unknown
1771342484.8837438,548,face,33.49013094857873,2.665200037881732,640,480,unknown
1771342484.9172156,549,face,29.87587523416743,3.8567001465708017,640,480,unknown
1771342484.9554722,550,face,31.438731148622313,6.513299886137247,640,480,unknown
1771342484.9823406,551,face,31.21458658926844,2.474399982020259,640,480,unknown
1771342485.0154283,552,face,30.98811986524026,2.0628999918699265,640,480,unknown
1771342485.0464933,553,face,31.865799550234,2.539300126954913,640,480,unknown
1771342485.0781832,554,face,30.49005910019409,2.4619000032544136,640,480,unknown
